Mother Group	Child Goup	Publication Year	Author	Title	Url	Abstract Note	Source code	Source code URL	Data Set Name 1	Data Set URL1	Data Set Nmae 2	Data Set URL 2	Data Set Name 3	Data Set URL 3	Demo	Demo URL	Demo 2	Demo 2 URL
Intelligent Music Production	Compressor	2019	Sheng, Di; Fazekas, Gyorgy	A Feature Learning Siamese Model for Intelligent Control of the Dynamic Range Compressor	https://arxiv.org/abs/1905.01022	In this paper, a siamese DNN model is proposed to learn the characteristics of the audio dynamic range compressor (DRC). This facilitates an intelligent control system that uses audio examples to conﬁgure the DRC, a widely used nonlinear audio signal conditioning technique in the areas of music production, speech communication and broadcasting. Several alternative siamese DNN architectures are proposed to learn feature embeddings that can characterise subtle effects due to dynamic range compression. These models are compared with each other as well as handcrafted features proposed in previous work. The evaluation of the relations between the hyperparameters of DNN and DRC parameters are also provided. The best model is able to produce a universal feature embedding that is capable of predicting multiple DRC parameters simultaneously, which is a signiﬁcant improvement from our previous research. The feature embedding shows better performance than handcrafted audio features when predicting DRC parameters for both monoinstrument audio loops and polyphonic music pieces.												
Intelligent Music Production	General Effects	2019	Ramírez, Marco A. Martínez; Benetos, Emmanouil; Reiss, Joshua D.	A general-purpose deep learning approach to model time-varying audio effects	http://arxiv.org/abs/1905.06148	Audio processors whose parameters are modiﬁed periodically over time are often referred as time-varying or modulation based audio effects. Most existing methods for modeling these type of effect units are often optimized to a very speciﬁc circuit and cannot be efﬁciently generalized to other time-varying effects. Based on convolutional and recurrent neural networks, we propose a deep learning architecture for generic black-box modeling of audio processors with long-term memory. We explore the capabilities of deep neural networks to learn such long temporal dependencies and we show the network modeling various linear and nonlinear, time-varying and time-invariant audio effects. In order to measure the performance of the model, we propose an objective metric based on the psychoacoustics of modulation frequency perception. We also analyze what the model is actually learning and how the given task is accomplished.	Source Code	https://github.com/lucieperrotta/ASP	IDMT-SMT-AudioEffects dataset	https://www.idmt.fraunhofer.de/en/business_units/m2d/smt/audio_effects.html					Demo	https://mchijmma.github.io/modeling-time-varying/		
Sound Source Separation	Summary	2019	Sawada, Hiroshi; Ono, Nobutaka; Kameoka, Hirokazu; Kitamura, Daichi; Saruwatari, Hiroshi	A review of blind source separation methods: two converging routes to ILRMA originating from ICA and NMF	https://www.cambridge.org/core/product/identifier/S2048770319000052/type/journal_article	This paper describes several important methods for the blind source separation of audio signals in an integrated manner. Two historically developed routes are featured. One started from independent component analysis and evolved to independent vector analysis (IVA) by extending the notion of independence from a scalar to a vector. In the other route, nonnegative matrix factorization (NMF) has been extended to multichannel NMF (MNMF). As a convergence point of these two routes, independent low-rank matrix analysis has been proposed, which integrates IVA and MNMF in a clever way. All the objective functions in these methods are efficiently optimized by majorization-minimization algorithms with appropriately designed auxiliary functions. Experimental results for a simple two-source two-microphone case are given to illustrate the characteristics of these five methods.												
Music Generation and Synthesis	Synthesis	2019	Donahue, Chris; McAuley, Julian; Puckette, Miller	ADVERSARIAL AUDIO SYNTHESIS	https://arxiv.org/abs/1802.04208	Audio signals are sampled at high temporal resolutions, and learning to synthesize audio requires capturing structure across a range of timescales. Generative adversarial networks (GANs) have seen wide success at generating images that are both locally and globally coherent, but they have seen little application to audio generation. In this paper we introduce WaveGAN, a ﬁrst attempt at applying GANs to unsupervised synthesis of raw-waveform audio. WaveGAN is capable of synthesizing one second slices of audio waveforms with global coherence, suitable for sound effect generation. Our experiments demonstrate that—without labels—WaveGAN learns to produce intelligible words when trained on a smallvocabulary speech dataset, and can also synthesize audio from other domains such as drums, bird vocalizations, and piano. We compare WaveGAN to a method which applies GANs designed for image generation on image-like audio feature representations, ﬁnding both approaches to be promising.	Source Code	https://github.com/chrisdohue/wavegan	Speech Commands Dataset	https://ai.googleblog.com/2017/08/launching-speech-commands-dataset.html	Peter Boesman. Bird recordings.	https://www.xeno-canto.org/contributor/OOECIWCSWV			Demo	https://chrisdohue.com/wavegan_examples/	Demo	https://chrisdohue.com/wavegan/
Music Generation and Synthesis	Synthesis	2019	Marafioti, Andrés; Holighaus, Nicki; Perraudin, Nathanaël; Majdak, Piotr	Adversarial Generation of Time-Frequency Features with application in audio synthesis	https://arxiv.org/abs/1902.04072	Time-frequency (TF) representations provide powerful and intuitive features for the analysis of time series such as audio. But still, generative modeling of audio in the TF domain is a subtle matter. Consequently, neural audio synthesis widely relies on directly modeling the waveform and previous attempts at unconditionally synthesizing audio from neurally generated invertible TF features still struggle to produce audio at satisfying quality. In this article, focusing on the short-time Fourier transform, we discuss the challenges that arise in audio synthesis based on generated invertible TF features and how to overcome them. We demonstrate the potential of deliberate generative TF modeling by training a generative adversarial network (GAN) on short-time Fourier features. We show that by applying our guidelines, our TF-based network was able to outperform a state-of-the-art GAN generating waveforms directly, despite the similar architecture in the two networks.												
Intelligent Music Production	Tool	2019	Ward, Dominic	Audio library for modelling loudness	https://github.com/deeuu/loudness		Source Code	https://github.com/deeuu/loudness										
Others	Others	2019	Roche, Fanny; Hueber, Thomas; Limier, Samuel; Girin, Laurent	Autoencoders for music sound modeling: a comparison of linear, shallow, deep, recurrent and variational models	https://arxiv.org/abs/1806.04096	This study investigates the use of non-linear unsupervised dimensionality reduction techniques to compress a music dataset into a low-dimensional representation which can be used in turn for the synthesis of new sounds. We systematically compare (shallow) autoencoders (AEs), deep autoencoders (DAEs), recurrent autoencoders (with Long ShortTerm Memory cells – LSTM-AEs) and variational autoencoders (VAEs) with principal component analysis (PCA) for representing the high-resolution short-term magnitude spectrum of a large and dense dataset of music notes into a lower-dimensional vector (and then convert it back to a magnitude spectrum used for sound resynthesis). Our experiments were conducted on the publicly available multiinstrument and multi-pitch database NSynth. Interestingly and contrary to the recent literature on image processing, we can show that PCA systematically outperforms shallow AE. Only deep and recurrent architectures (DAEs and LSTM-AEs) lead to a lower reconstruction error. The optimization criterion in VAEs being the sum of the reconstruction error and a regularization term, it naturally leads to a lower reconstruction accuracy than DAEs but we show that VAEs are still able to outperform PCA while providing a low-dimensional latent space with nice “usability” properties. We also provide corresponding objective measures of perceptual audio quality (PEMO-Q scores), which generally correlate well with the reconstruction error.			NSynth dataset	https://magenta.tensorflow.org/datasets/nsynth					Demo 1	http://www.gipsa-lab.fr/~fanny.roche/SMC_2019.html		
Intelligent Music Production	Level Adjustment	2019	Moffat, David; Sandler, Mark B	Automatic Mixing Level Balancing Enhanced Through Source Interference Identiﬁcation	http://www.aes.org/e-lib/browse.cfm?elib=20355	It has been well established that equal loudness normalisation can produce a perceptually appropriate level balance in an automated mix. Previous work assumes that each captured track represents an individual sound source. In the context of a live drum recording this assumption is incorrect. This paper will demonstrate approach to identify the source interference and adjust the source gains accordingly, to ensure that tracks are all set to equal perceptual loudness. The impact of this interference on the selected gain parameters and resultant mixture is highlighted.			ENST dataset	http://www.tsi.telecom-paristech.fr/aao/en/2010/02/19/enst-drums-an-extensive-audio-visual-database-for-drum-sigls-processing/								
Feature	Feature	2019	Purwins, Hendrik; Li, Bo; Virtanen, Tuomas; Schlüter, Jan; Chang, Shuo-yiin; Sainath, Tara	Deep Learning for Audio Signal Processing	http://arxiv.org/abs/1905.00078	Given the recent surge in developments of deep learning, this article provides a review of the state-of-the-art deep learning techniques for audio signal processing. Speech, music, and environmental sound processing are considered sideby-side, in order to point out similarities and differences between the domains, highlighting general methods, problems, key references, and potential for cross-fertilization between areas. The dominant feature representations (in particular, log-mel spectra and raw waveform) and deep learning models are reviewed, including convolutional neural networks, variants of the long short-term memory architecture, as well as more audio-speciﬁc neural network models. Subsequently, prominent deep learning application areas are covered, i.e. audio recognition (automatic speech recognition, music information retrieval, environmental sound detection, localization and tracking) and synthesis and transformation (source separation, audio enhancement, generative models for speech, sound, and music synthesis). Finally, key issues and future questions regarding deep learning applied to audio signal processing are identiﬁed.			Million Song Dataset	http://millionsongdataset.com/	AudioSet	https://research.google.com/audioset/						
Generic	Generic	2019	Purwins, Hendrik; Li, Bo; Virtanen, Tuomas; Schlüter, Jan; Chang, Shuo-yiin; Sainath, Tara	Deep Learning for Audio Signal Processing	http://arxiv.org/abs/1905.00078	Given the recent surge in developments of deep learning, this article provides a review of the state-of-the-art deep learning techniques for audio signal processing. Speech, music, and environmental sound processing are considered sideby-side, in order to point out similarities and differences between the domains, highlighting general methods, problems, key references, and potential for cross-fertilization between areas. The dominant feature representations (in particular, log-mel spectra and raw waveform) and deep learning models are reviewed, including convolutional neural networks, variants of the long short-term memory architecture, as well as more audio-speciﬁc neural network models. Subsequently, prominent deep learning application areas are covered, i.e. audio recognition (automatic speech recognition, music information retrieval, environmental sound detection, localization and tracking) and synthesis and transformation (source separation, audio enhancement, generative models for speech, sound, and music synthesis). Finally, key issues and future questions regarding deep learning applied to audio signal processing are identiﬁed.			Million Song Dataset	http://millionsongdataset.com/	AudioSet	https://research.google.com/audioset/						
Sound Source Separation	Music Audio Source Separation	2019	Lluís, Francesc; Pons, Jordi; Serra, Xavier	End-to-end music source separation: is it possible in the waveform domain?	http://arxiv.org/abs/1810.12187	Most of the currently successful source separation techniques use the magnitude spectrogram as input, and are therefore by default omitting part of the signal: the phase. To avoid omitting potentially useful information, we study the viability of using end-to-end models for music source separation — which take into account all the information available in the raw audio signal, including the phase. Although during the last decades end-to-end music source separation has been considered almost unattainable, our results conﬁrm that waveform-based models can perform similarly (if not better) than a spectrogram-based deep learning model. Namely: a Wavenet-based model we propose and Wave-U-Net can outperform DeepConvSep, a recent spectrogram-based deep learning model.	Source Code	https://github.com/francesclluis/source-separation-wavenet	DSD100	https://sigsep.github.io/datasets/dsd100.html					Demo	http://jordipons.me/apps/end-to-end-music-source-separation/		
